isbn,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language
0884115631,The Shepherd,,Frederick Forsyth,,1960-06-01,A pilot and his plane are saved by a mysterious World War I aircraft.,0,Fiction,en
0060175648,Identity,A Novel,Milan Kundera,Harper,1998-04-21,"Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. That also happens with couples -- indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation -- and the vague sense of panic it inspires -- the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.",176,Fiction,en
0394535383,Pillar of the Sky,A Novel,Cecelia Holland,Alfred a Knopf Incorporated,1985,"Two thousand years ago, at the site of Stonehenge, an outcast child grows up to become chief of the People and, guided by the women, to rebuild the ring of stones",534,England,en
0843114401,Jingle Bear,,Stephen Cosgrove,,1985,"When the other bears get ready to hibernate for the winter, Jingle Bear decides to stay awake so he can see Father Snow. Copyright © Libri GmbH. All rights reserved.",36,Bears,en
0451207408,The Adventurer,,Jaclyn Reding,Signet Book,2002,"While attempting to return a mysterious, legendary crystal to the hands of its rightful owner, beautiful Isabella Drayton is captured by fierce warrior Calum MacKay, the ""Adventurer,"" known for his raids on British prison ships. By the author of The Pretender. Original.",314,Fiction,en
0671318403,The Legend That Was Earth,,James P. Hogan,Baen,2001-10-01,Legend that was Earth,516,Fiction,en
0393035115,The Wrestler's Cruel Study,A Novel,Stephen Dobyns,W. W. Norton,1993,"As Michael Marmaduke searches for his missing fiancee, he progresses from confused innocence to darker self-knowledge and grapples with the issues of kidnapping, the struggle between good and evil, and the meaning of heroism",426,Fiction,en
0831767995,Peter Pan,,"Walt Disney, Walt Disney Company",Viking Juvenile,1986,"The adventures of Peter Pan, the boy who would not grow up.",104,Fairies,en
0152163050,When Dad Killed Mom,,Julius Lester,HMH Books For Young Readers,2001,"When Jenna and Jeremy's father shoots and kills their artist mother, they struggle to slowly rebuild a functioning family.",0,Artists,en
0152012702,Heart and Soul,,Liz Rosenberg,Harcourt Paperbacks,1996,"Seventeen-year-old Willie Steinberg returns home to Richmond from a private school in Philadelphia depressed and overwhelmed, but as she helps an eccentric fellow student, she begins to hava a better understanding of her parents and of her own musical talent. Copyright © Libri GmbH. All rights reserved.",0,Jews,en
0156260255,The Diary of Anaïs Nin: 1931-1934,,Anaïs Nin,Mariner Books,1966,The first diary in a nine volume series in the influential artist and thinker Anais Nin's own words.,388,Biography & Autobiography,en
0395047765,Oral Interpretation,,Charlotte I. Lee,,1971,"This enduring classic in the field of oral interpretation provides students new to the study of performance with a solid foundation in literary analysis and performance. More than 100 classic and contemporary poems, short stories, and dramatic works are included to inspire student performance. The Tenth Edition maintains the authors' philosophy that scholarship, technical know-how, sensitivity, and the desire to share are cornerstones of interpretation. Placing a heightened emphasis on performance studies, this edition also strives to broaden the scope of oral interpretation with frequent references to interests and experiences students may encounter across the curriculum.",536,Expression,en
0671020714,Enchanted,,Victoria Malvey,Pocket Books,1999,"Lord Crispin Merrick and Amelia Ralston were childhood playmates. When Cris left home and headed off to school, young Amelia was devastated. When he returns ten years later, Cris's brotherly fondness for Amelia is about to give way to emotions that set his heart reeling.",324,Great Britain,en
0874831520,Dry Bones,A Novel,Hope Norman Coulter,,1990,A mystery surrounds the identification of a fossil found on a farm in Arkansas. The creation-evolution debate is regenerated.,286,Arkansas,en
1558320458,"Crying Baby, Sleepless Nights",,Sandy Jones,Houghton Mifflin Harcourt,1992,"Helps parents identify the cause of a baby's suffering, and discusses colic, allergies, and getting through difficult times with a restless infant",180,Family & Relationships,en
0142301345,Hamster Chase,,"Ezra Jack Keats, Anastasia Suen",Penguin Young Readers,2002,"When Peter takes the class hamster out of his cage, the hamster escapes. Peter and his friends search the classroom, but every time they come close, Mikey the hamster runs away again! How will Peter and his friends ever get Mikey back into his cage?",38,Hamsters,en
1575667835,Best in Show,A Melanie Travis Mystery,Laurien Berenson,Kensington Books,2003,"When the co-chair of the raffle committee is murdered during the Poodle Club of America National Specialty Dog Show, canine calamity ensues as poodle breeder and occasional sleuth Melanie Travers digs through a wealth of suspects, including a rival owner and a fake pet psychic, to catch a killer. 20,000 first printing.",294,Fiction,en
0060115025,The Empty House,,Michael Francis Gilbert,Harpercollins,1978-01-01,"A vital part of British Biological Warfare, scientist Alexander Wolfe is placed under constant government surveillance until his death in a mysterious car crash that sets off repercussions around the world",245,Detective and mystery stories,en
0934395942,Redneckin' Made Easy,,Bo Whaley,Rutledge Hill Press,1988,"At last, a guide to one of America's most beloved lifestyles! For Yankees and Southerners alike, Redneckin' Made Easy is a dependable guide to happy redneck living.",95,Humor,en
0306809044,Skywalking,"The Life And Films Of George Lucas, Updated Edition",Dale Pollock,Da Capo Press,1999-05-31,"Filled with revelations about the origins and making of American Graffiti, Star Wars, The Empire Strikes Back, Raiders of the Lost Ark, and Return of the Jedi, this only full-length biography of filmmaker and cinematic visionary George Lucas has been updated with a substantial new chapter that discusses the revamped Star Wars Trilogy Special Edition, the Star Wars prequels, the filming of the first installment, and the controversial ways in which Lucas's approach and success continue to alter the landscape of the film industry.",362,Performing Arts,en
0879304243,All Music Guide to the Blues,The Experts' Guide to the Best Blues Recordings,Michael Erlewine,Backbeat Books,1996,"Listing more than 500 blues artists alphabetically, each with a brief biographical profile, and reviewing and rating their best recordings--more than 3,000 in all--this comprehensive guide identifies thousands of top-notch CDs, albums, and tapes in all styles of the blues. Fifteen historical essays plus supplemental ""music maps"" chart the roots and evolution of the blues.",424,Blues (Music),en
1557738467,Original Sin,,Mary Monica Pulver,Ace Books,1993-01-01,"When cousin Evelyn takes a fatal bump on the head during the Brichter family's Christmas festivities, Sergeant Peter Brichter begins a hard-core investigation among his own guests. Reprint. K.",241,Fiction,en
