,User-ID,ISBN,Book-Rating
9591,16,0345402871,9
9594,17,0425099148,7
9608,26,0449005615,9
9607,26,0446310786,10
9616,39,0553582909,8
9617,39,0671888587,7
9618,42,0553582747,7
9624,51,0440225701,9
9652,75,1558531025,5
9654,78,0394895894,8
9666,91,0316769487,9
9671,97,0671867156,7
9677,99,0446677450,10
9695,114,0671027360,10
9691,114,0446612545,9
9697,125,0679429220,10
9724,165,0060976845,9
9726,165,0446612545,5
9728,169,0446601640,7
9897,224,0446527165,8
9899,228,0385337639,7
9901,230,0451206673,6
10035,243,155874262X,5
10030,243,0786863986,5
10012,243,0449006522,6
10001,243,044023722X,7
9962,243,0316601950,9
9989,243,0385720106,7
9976,243,0375400117,10
9966,243,0316776963,9
9994,243,0425163407,9
10043,244,1558744150,6
10042,244,155874262X,6
10041,244,0804111359,8
10037,244,0060987103,8
10248,254,0451409256,7
10202,254,0399146431,9
10212,254,0439139597,9
10253,254,0451526341,8
10211,254,0439136369,9
10210,254,0439136350,9
10208,254,0439064864,9
10279,254,0590353403,9
10285,254,0618002227,8
10290,254,0671021001,7
10305,254,0679781587,8
10306,254,0679879242,8
10057,254,0060934700,9
10071,254,0064471047,7
10084,254,0142001740,9
10186,254,0380789035,10
10184,254,0380730448,8
10190,254,0380973650,9
10365,256,044023722X,8
10378,280,0316769487,7
10402,334,1573228737,8
10423,367,0449005615,9
10445,383,0517577402,10
10484,388,0060976845,3
10599,413,0553210092,8
10614,424,0671021001,6
10616,424,0805063897,8
10626,433,0842329129,5
10636,441,0743229878,8
10650,446,0061000280,10
10673,453,0312278586,6
10695,476,0515118656,8
10702,486,0060976845,8
10706,486,0451202341,8
10714,487,0345441133,7
10729,487,0671888587,6
10739,496,055356451X,8
10738,496,0425182878,8
10748,503,0140179836,10
10773,503,1558743669,10
10760,503,0440241006,10
10778,505,0345313860,7
10776,505,006017143X,9
10868,507,0553583468,7
10910,507,0821772953,8
10860,507,0553576801,7
10792,507,0020427859,9
10801,507,0140230165,7
10830,507,0425115844,7
10847,507,0451184718,9
10856,507,0553564528,7
10803,507,0142001740,10
10930,523,0060930187,8
10939,558,0446364193,8
10951,566,0399144463,2
10956,567,0140185216,10
10958,567,0425174484,8
10970,595,0140293248,9
11108,638,0446525537,9
11107,638,0446525502,9
11117,638,0609606727,8
11119,638,0670892963,7
11128,638,0679746048,7
11123,638,0679442790,10
11086,638,0316969443,10
11099,638,0394574745,8
11076,638,0151001006,10
11078,638,0316666343,10
11080,638,0316693200,9
11081,638,0316769487,10
11082,638,0316776963,10
11087,638,0345339711,10
11083,638,0316779423,10
11096,638,0385504209,10
11198,643,1854795554,9
11170,643,0552546933,9
11180,643,0749396067,8
11174,643,0671894455,7
11241,649,0375501347,7
11286,657,038529929X,6
11288,660,1573229571,8
11292,683,0517201658,8
11318,709,0345391802,7
11316,709,0316666343,3
11340,711,0330367358,9
11352,714,0451155750,7
11364,726,0451454243,10
11361,726,0373250339,5
11390,735,038533334X,4
11508,756,0553568760,5
11517,763,0679781587,8
11516,763,0671510053,10
11524,774,055321313X,8
